name,color,packages,freshPackages
Ad̩lie Linux current,#27f676,8243,2091
AIX Open Source Packages,#e1d77b,8065,260
AIX Toolbox,#6b0b92,644,116
AlmaLinux 8,#e7b63a,5986,750
AlmaLinux 9,#3a17d8,3034,655
Alpine Linux 3.15,#0d597f,15848,2873
Alpine Linux 3.16,#0d597f,17032,3179
Alpine Linux 3.17,#0d597f,17811,3695
Alpine Linux 3.18,#0d597f,20062,4617
Alpine Linux 3.19,#0d597f,23027,5677
Alpine Linux 3.20,#0d597f,24163,6582
Alpine Linux 3.21,#0d597f,25389,8154
Alpine Linux 3.22,#0d597f,26312,11521
Alpine Linux Edge,#0d597f,34749,22568
ALT Linux p9,#7bdee9,18262,4531
ALT Linux p10,#e35430,19057,5322
ALT Linux p11,#cf81dd,19795,7204
ALT Sisyphus,#115799,20700,10202
Amazon Linux 1,#2f2558,3448,298
Amazon Linux 2,#234b7a,7255,717
AOSC,#0af098,5749,2184
Apertis v2023,#4205cd,5612,1131
Apertis v2024,#b1b089,5977,1297
Apertis v2025,#d9ba1d,5981,1298
Apertis v2026 Development,#9bc337,6825,2581
Arch Linux,#02ba84,15099,11588
Arch Testing,#bf6e11,263,194
Arch Linux ARM aarch64,#3ca5dc,21174,10946
ArchPOWER powerpc,#7beb18,5417,2529
ArchPOWER powerpc64le,#dd275f,5650,2558
ArchPOWER riscv64,#16ece5,5330,2169
AUR,#1793d1,100533,28097
Artix,#f0c1fa,8904,5643
Artix Testing,#7fa3b3,163,116
BackBox 6,#9997c4,19,2
BackBox 7,#02b384,26,7
Baulk,#16e637,71,48
BioArch,#7b8a5b,5251,4629
BlackArch,#0a499c,5578,1418
Calculate,#45ee36,88,9
Carbs Linux,#7557f4,347,100
CentOS 6,#b53b07,2399,316
CentOS 7,#227ce7,3541,493
CentOS 8,#f44498,3380,535
CentOS Stream 8,#33d093,9841,794
CentOS Stream 9,#0ee97e,6029,929
CentOS Stream 10,#0f0726,6072,1968
Chimera Linux,#545112,11344,7591
Chocolatey,#848169,4042,1506
Chromebrew,#5f5949,2458,1099
ConanCenter,#55432b,5827,736
CPAN,#2b9c3f,9699,9517
MetaCPAN,#58ed89,11503,9199
CRAN,#0d2702,22682,22445
crates.io,#50a416,4979,4671
CRUX 3.6,#7a9f20,2070,452
CRUX 3.7,#edbab6,2374,1215
CRUX 3.8,#1b1f08,2402,2155
Cygwin,#164dbb,11523,3683
Deb Multimedia Unstable,#396954,438,316
Debian 11,#d80150,32129,7998
Debian 12,#d80150,35113,10178
Debian 12 Backports,#d80150,1018,172
Debian 12 Backports sloppy,#d80150,4,2
Debian 13,#d80150,38138,16327
Debian 13 Backports,#d80150,129,65
Debian 14,#d80150,38433,19085
Debian Unstable,#d80150,40247,19858
Debian Experimental,#d80150,1178,351
deepin 20,#b49487,29950,6353
deepin 23,#5aa976,11181,2841
Devuan 4.0,#c74001,31290,7961
Devuan Unstable,#c5a2df,39500,19758
distri,#5dd3d8,541,31
ELRepo el8,#2a1eab,190,5
ELRepo el8 Testing,#c3c746,11,1
ELRepo el9,#731a49,174,6
ELRepo el9 Testing,#f45275,16,1
Endless OS 4.0,#572032,116,3
Endless OS master,#ee1231,100,6
EPEL 6,#104bec,5978,1002
EPEL 7,#5c4e96,7303,1593
EPEL 8,#f562dd,5210,1659
EPEL 9,#57ef37,7971,3443
EPEL 10,#ce5625,6269,3904
EuroLinux 8,#357d95,8070,678
EuroLinux 9,#23092a,7422,888
Exherbo,#f4067d,8604,3650
F-Droid,#417588,10986,386
Fedora 37,#294072,29763,8272
Fedora 38,#294072,30232,8931
Fedora 39,#294072,29890,9702
Fedora 40,#294072,31164,11094
Fedora 41,#294072,30595,12989
Fedora 42,#294072,29200,14399
Fedora Rawhide,#294072,23783,15634
FreeBSD Ports,#f8bd97,37162,22096
Gentoo,#fd50aa,29980,10998
Gentoo overlay GURU,#0833e8,3029,995
Gentoo overlay Pentoo,#320606,1160,323
Gentoo Science overlay,#3e6a59,745,165
glaucus,#4a4605,119,31
GNU Elpa,#715082,478,466
GNU Guix,#627484,29927,9060
GoboLinux,#cae358,3775,841
Hackage,#f66bb8,18399,18302
HaikuPorts master,#728050,3893,1099
Homebrew,#474193,11963,6422
Homebrew Casks,#d6a8e7,2243,1654
